"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.104781723022461"
"0.05","5002","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0739585876464846"
"0.05","5002","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1208728790283202"
"0.05","5002","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.096763038635254"
"0.05","5002","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.9804105758666992"
"0.05","5002","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.965151596069336"
"0.05","5002","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0561933517456055"
"0.05","5002","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0697952270507813"
"0.05","5002","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.217586708068848"
"0.05","5002","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.9718851089477538"
"0.05","5002","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.2952272415161132"
"0.05","5002","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.4051586151123048"
"0.05","5002","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.403061866760254"
"0.05","5002","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.401904582977295"
"0.05","5002","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1535060882568358"
"0.05","5002","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0281829833984375"
"0.05","5002","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9574642181396484"
"0.05","5002","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2005271911621094"
"0.05","5002","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9092222213745118"
"0.05","5002","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.8790296554565429"
"0.05","5002","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.8739879608154297"
"0.05","5002","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.142096424102783"
"0.05","5002","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.026450347900391"
"0.05","5002","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1825416564941404"
"0.05","5002","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9750200271606446"
"0.05","5002","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1277788162231444"
"0.05","5002","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9536365509033202"
"0.05","5002","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0497211456298827"
"0.05","5002","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9182915687561035"
"0.05","5002","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.039284896850586"
"0.05","5002","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.764404582977295"
"0.05","5003","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4327064514160157"
"0.05","5003","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4153934478759767"
"0.05","5003","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3379493713378907"
"0.05","5003","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.441823673248291"
"0.05","5003","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2637054443359377"
"0.05","5003","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0931053161621094"
"0.05","5003","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.257771301269531"
"0.05","5003","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.133584213256836"
"0.05","5003","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1651708602905275"
"0.05","5003","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2342388153076174"
"0.05","5003","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.155823516845703"
"0.05","5003","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.162443733215332"
"0.05","5003","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2718683242797852"
"0.05","5003","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0527313232421873"
"0.05","5003","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1796682357788084"
"0.05","5003","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2351268768310546"
"0.05","5003","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.027952194213867"
"0.05","5003","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1432743072509766"
"0.05","5003","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.234861373901367"
"0.05","5003","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1505716323852537"
"0.05","5003","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.100307083129883"
