"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.9856189966201783"
"0.05","5001","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.0623959183692933"
"0.05","5001","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.014483380317688"
"0.05","5001","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.1706925868988036"
"0.05","5001","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.351232481002808"
"0.05","5001","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1375487089157104"
"0.05","5001","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2712149620056152"
"0.05","5001","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1762027740478516"
"0.05","5001","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3142327308654784"
"0.05","5001","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.123113918304443"
"0.05","5001","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2391147136688234"
"0.05","5001","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2660521030426026"
"0.05","5001","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.100742292404175"
"0.05","5001","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3431405067443847"
"0.05","5001","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2133922576904297"
"0.05","5001","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2148932456970214"
"0.05","5001","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.165609073638916"
"0.05","5001","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0293615818023683"
"0.05","5001","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0919024467468263"
"0.05","5001","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.154356288909912"
"0.05","5001","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1069309234619142"
"0.05","5001","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.9856189966201783"
"0.05","5001","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.0623959183692933"
"0.05","5001","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.014483380317688"
"0.05","5001","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.1743170499801636"
"0.05","5001","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2997079849243165"
"0.05","5001","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.126029539108276"
"0.05","5001","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.237345886230469"
"0.05","5001","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0872934341430662"
"0.05","5001","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2776578664779663"
"0.05","5001","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0191728115081786"
