"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1940612358205462","0.29908088235294117"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1556500659269444","0.2994485294117647"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2454331229714786","0.2902573529411765"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2245789149228266","0.30055147058823534"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.346323209650376","0.26378676470588236"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2214823049657486","0.28161764705882353"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.606864368214327","0.2189338235294118"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.615772917691399","0.22150735294117646"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3468025235568772","0.2803308823529412"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.3463789715486416","0.2955882352941176"
