"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.192212841090034"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.1751790677799896"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1940612358205462"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1556500659269444"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.196606936174281"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.071058478074915"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.2454331229714786"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.244166054445155"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2454331229714786"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2245789149228266"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.242442361046286"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.1696285093531893"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.3436612311531517"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.219612313719357"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.346323209650376"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2214823049657486"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.3445639988955334"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.195250837943133"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.6091497000525976"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.641773596931906"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.606864368214327"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.615772917691399"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.5904978611890006"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.5620749080882352"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.3468025235568772"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.345995684231029"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3468025235568772"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.3463789715486416"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.3485443451825305"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.3507297487819896"
