"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","poc_ogpm_eps_0.5","eps_0.5","2.126147424473482"
"0.05","5001","oort_official_ogpm_eps_0.5","eps_0.5","2.119634953667136"
"0.05","5001","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1445631504058835"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.2705665756674374"
"0.05","5001","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.001611011869767"
"0.05","5001","poc_ogpm_eps_1","eps_1","2.101957782577066"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","2.084481817133286"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","2.1445631504058835"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1823863927055807"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","1.6781528746380527"
"0.05","5001","poc_ogpm_eps_2","eps_2","2.075242038334117"
"0.05","5001","oort_official_ogpm_eps_2","eps_2","1.978054635664996"
"0.05","5001","hics2024_source_adapted_ogpm_eps_2","eps_2","2.1445631504058835"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.1065167076447433"
"0.05","5001","mcglr_top2_ogpm_eps_2","eps_2","1.5859087165664223"
"0.05","5002","poc_ogpm_eps_0.5","eps_0.5","2.254355241270627"
"0.05","5002","oort_official_ogpm_eps_0.5","eps_0.5","2.316003907428068"
"0.05","5002","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.2630660884520584"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.334167445407194"
"0.05","5002","mcglr_top2_ogpm_eps_0.5","eps_0.5","1.8551767531563252"
"0.05","5002","poc_ogpm_eps_1","eps_1","2.201716911091524"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","2.2644230267580823"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","2.2630660884520584"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.367364249509923"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","1.7438091614667106"
"0.05","5002","poc_ogpm_eps_2","eps_2","2.1858184856526996"
"0.05","5002","oort_official_ogpm_eps_2","eps_2","2.28578466387356"
"0.05","5002","hics2024_source_adapted_ogpm_eps_2","eps_2","2.2630660884520584"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.25889290080351"
"0.05","5002","mcglr_top2_ogpm_eps_2","eps_2","1.7108874335008508"
"0.05","5003","poc_ogpm_eps_0.5","eps_0.5","2.32703662479625"
"0.05","5003","oort_official_ogpm_eps_0.5","eps_0.5","2.3553487483192894"
"0.05","5003","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.3673590000937965"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.381207633018494"
"0.05","5003","mcglr_top2_ogpm_eps_0.5","eps_0.5","1.964609758994159"
"0.05","5003","poc_ogpm_eps_1","eps_1","2.304185084735646"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","2.4717349094503067"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","2.3673590000937965"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.3756323435727285"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","1.7382856481215532"
"0.05","5003","poc_ogpm_eps_2","eps_2","2.2575792719336114"
"0.05","5003","oort_official_ogpm_eps_2","eps_2","2.3930766638587504"
"0.05","5003","hics2024_source_adapted_ogpm_eps_2","eps_2","2.3673590000937965"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.2624122858047486"
"0.05","5003","mcglr_top2_ogpm_eps_2","eps_2","1.665033720521366"
"0.05","5004","poc_ogpm_eps_0.5","eps_0.5","2.5445825127994315"
"0.05","5004","oort_official_ogpm_eps_0.5","eps_0.5","2.636787333207972"
"0.05","5004","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.406312434813555"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.356958748312558"
"0.05","5004","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.327880334854126"
"0.05","5004","poc_ogpm_eps_1","eps_1","2.497671127319336"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","2.5892778172212485"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","2.406312434813555"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.448229385824764"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","1.8487655078663545"
"0.05","5004","poc_ogpm_eps_2","eps_2","2.4622623022864847"
"0.05","5004","oort_official_ogpm_eps_2","eps_2","2.5508861766142004"
"0.05","5004","hics2024_source_adapted_ogpm_eps_2","eps_2","2.406312434813555"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.185684507033404"
"0.05","5004","mcglr_top2_ogpm_eps_2","eps_2","1.6659168299506693"
"0.05","5005","poc_ogpm_eps_0.5","eps_0.5","2.397150886760039"
"0.05","5005","oort_official_ogpm_eps_0.5","eps_0.5","2.2973868818844068"
"0.05","5005","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.4091052167555866"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.299873161315918"
"0.05","5005","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.0753033553852753"
"0.05","5005","poc_ogpm_eps_1","eps_1","2.3555840716642495"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","2.270390016892377"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","2.4091052167555866"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.3396941269145293"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","1.8019838136785171"
"0.05","5005","poc_ogpm_eps_2","eps_2","2.290692107817706"
"0.05","5005","oort_official_ogpm_eps_2","eps_2","2.3565714667825137"
"0.05","5005","hics2024_source_adapted_ogpm_eps_2","eps_2","2.4091052167555866"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.264049048984752"
"0.05","5005","mcglr_top2_ogpm_eps_2","eps_2","1.7180151336333331"
