"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","poc_ogpm_eps_1","eps_1","0.10810330948258753","0.07166666666666667"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","0.12653687857304666","0.10058823529411766"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","0.1279887753761202","0.056666666666666664"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.11576017029524505","0.044705882352941186"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","0.44734287819274926","0.37205882352941183"
"0.05","5002","poc_ogpm_eps_1","eps_1","0.11798744187977257","0.07366863905325444"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","0.10610764196459892","0.049704142011834325"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","0.16174491954159984","0.028106508875739646"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10935562928654105","0.03106508875739645"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","0.6324579218539957","0.5426035502958579"
"0.05","5003","poc_ogpm_eps_1","eps_1","0.1332159413151601","0.07058823529411765"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","0.05975387422858552","0.021176470588235293"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","0.19353788213775097","0.025"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.13921567822695033","0.06"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","0.6154616601132191","0.5341176470588236"
"0.05","5004","poc_ogpm_eps_1","eps_1","0.08694136536739547","0.07137254901960784"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","0.08033764992820808","0.05647058823529413"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","0.08848058300621114","0.055294117647058834"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10883684460761052","0.060000000000000005"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","0.44641579620002875","0.3807843137254902"
"0.05","5005","poc_ogpm_eps_1","eps_1","0.12076566691284721","0.06823529411764706"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","0.13161774032082166","0.1"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","0.08370787838187341","0.03882352941176471"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.11507981327976158","0.0607843137254902"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","0.5443712114251338","0.45137254901960794"
