"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","random","none","0.985582435131073"
"0.05","5001","10","random","none","1.0623612642288207"
"0.05","5001","20","random","none","1.0143754482269287"
"0.05","5001","30","random","none","1.1314712762832642"
"0.05","5001","40","random","none","2.3938695430755614"
"0.05","5001","50","random","none","2.0652405261993407"
"0.05","5001","60","random","none","2.367210865020752"
"0.05","5001","70","random","none","2.253495788574219"
"0.05","5001","80","random","none","2.2712889671325684"
"0.05","5001","90","random","none","2.2066821098327636"
"0.05","5001","100","random","none","2.2500483989715576"
"0.05","5001","110","random","none","2.2392935752868652"
"0.05","5001","120","random","none","2.1337705850601196"
"0.05","5001","130","random","none","2.353040170669556"
"0.05","5001","140","random","none","2.193938684463501"
"0.05","5001","150","random","none","2.184738540649414"
"0.05","5001","160","random","none","2.148813080787659"
"0.05","5001","170","random","none","2.020966720581055"
"0.05","5001","180","random","none","1.991004180908203"
"0.05","5001","190","random","none","2.1519901752471924"
"0.05","5001","199","random","none","2.1527082443237306"
"0.05","5001","0","oracle","none","0.985582435131073"
"0.05","5001","10","oracle","none","1.0623612642288207"
"0.05","5001","20","oracle","none","1.0143754482269287"
"0.05","5001","30","oracle","none","1.1472208023071289"
"0.05","5001","40","oracle","none","1.500351333618164"
"0.05","5001","50","oracle","none","1.3319481134414672"
"0.05","5001","60","oracle","none","1.549308753013611"
"0.05","5001","70","oracle","none","1.423963689804077"
"0.05","5001","80","oracle","none","1.3880843639373779"
"0.05","5001","90","oracle","none","1.2992052793502809"
"0.05","5001","100","oracle","none","1.3217809200286865"
"0.05","5001","110","oracle","none","1.407910370826721"
"0.05","5001","120","oracle","none","1.371339464187622"
"0.05","5001","130","oracle","none","1.431555986404419"
"0.05","5001","140","oracle","none","1.255630624294281"
"0.05","5001","150","oracle","none","1.2047178506851197"
"0.05","5001","160","oracle","none","1.2811025619506835"
"0.05","5001","170","oracle","none","1.386033296585083"
"0.05","5001","180","oracle","none","1.3726256608963012"
"0.05","5001","190","oracle","none","1.1952420353889466"
"0.05","5001","199","oracle","none","1.4061467170715332"
"0.05","5001","0","poc_ogpm_eps_1","eps_1","0.985582435131073"
"0.05","5001","10","poc_ogpm_eps_1","eps_1","1.0623612642288207"
"0.05","5001","20","poc_ogpm_eps_1","eps_1","1.0143754482269287"
"0.05","5001","30","poc_ogpm_eps_1","eps_1","1.1436604261398315"
"0.05","5001","40","poc_ogpm_eps_1","eps_1","2.1963383197784423"
"0.05","5001","50","poc_ogpm_eps_1","eps_1","2.0014208793640136"
"0.05","5001","60","poc_ogpm_eps_1","eps_1","2.272372341156006"
"0.05","5001","70","poc_ogpm_eps_1","eps_1","2.1709909439086914"
"0.05","5001","80","poc_ogpm_eps_1","eps_1","2.089352607727051"
"0.05","5001","90","poc_ogpm_eps_1","eps_1","2.0842870712280273"
"0.05","5001","100","poc_ogpm_eps_1","eps_1","2.255579710006714"
"0.05","5001","110","poc_ogpm_eps_1","eps_1","2.1549203395843506"
"0.05","5001","120","poc_ogpm_eps_1","eps_1","2.07068133354187"
"0.05","5001","130","poc_ogpm_eps_1","eps_1","2.245488405227661"
