"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","poc_ogpm_eps_0.5","eps_0.5","6.359454525218291"
"0.05","5001","oort_official_ogpm_eps_0.5","eps_0.5","6.637479131362017"
"0.05","5001","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.068820010914521"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","6.88147928574506"
"0.05","5001","mcglr_top2_ogpm_eps_0.5","eps_0.5","4.384975971895106"
"0.05","5001","poc_ogpm_eps_1","eps_1","6.296219096464269"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","6.155583864099839"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","6.764378424251781"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.847905282413258"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","3.535078878963695"
"0.05","5001","poc_ogpm_eps_2","eps_2","6.066578001134537"
"0.05","5001","oort_official_ogpm_eps_2","eps_2","6.266799567727482"
"0.05","5001","hics2024_source_adapted_ogpm_eps_2","eps_2","6.764378424251781"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","6.022933870203355"
"0.05","5001","mcglr_top2_ogpm_eps_2","eps_2","3.19146562464097"
"0.05","5002","poc_ogpm_eps_0.5","eps_0.5","6.762334442138673"
"0.05","5002","oort_official_ogpm_eps_0.5","eps_0.5","7.1005723392262174"
"0.05","5002","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.672190901812386"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.045283867331112"
"0.05","5002","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.7419098797966455"
"0.05","5002","poc_ogpm_eps_1","eps_1","6.5827465281767"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","6.685891095329733"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","7.587405754538144"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","7.118383519789752"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","3.373369957419003"
"0.05","5002","poc_ogpm_eps_2","eps_2","6.419356357350069"
"0.05","5002","oort_official_ogpm_eps_2","eps_2","7.216619962804457"
"0.05","5002","hics2024_source_adapted_ogpm_eps_2","eps_2","7.587405754538144"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","6.357634869743797"
"0.05","5002","mcglr_top2_ogpm_eps_2","eps_2","2.947699647791245"
"0.05","5003","poc_ogpm_eps_0.5","eps_0.5","6.8452256146599275"
"0.05","5003","oort_official_ogpm_eps_0.5","eps_0.5","7.076131663602942"
"0.05","5003","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.565785800709444"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.045375599580653"
"0.05","5003","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.9970665426815266"
"0.05","5003","poc_ogpm_eps_1","eps_1","6.71278767305262"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","6.988294354607078"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","7.644100817512064"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.671340762867647"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","3.3968969008501837"
"0.05","5003","poc_ogpm_eps_2","eps_2","6.569791008444393"
"0.05","5003","oort_official_ogpm_eps_2","eps_2","7.064066449333641"
"0.05","5003","hics2024_source_adapted_ogpm_eps_2","eps_2","7.644100817512064"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","6.143792230942671"
"0.05","5003","mcglr_top2_ogpm_eps_2","eps_2","2.964364803538603"
"0.05","5004","poc_ogpm_eps_0.5","eps_0.5","6.953072940602022"
"0.05","5004","oort_official_ogpm_eps_0.5","eps_0.5","7.654449821920955"
"0.05","5004","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.827585467170267"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","7.0177199419806975"
"0.05","5004","mcglr_top2_ogpm_eps_0.5","eps_0.5","4.8945269416360295"
"0.05","5004","poc_ogpm_eps_1","eps_1","6.8220162784352025"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","7.463573500689338"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","7.817781515682446"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.554315095789292"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","3.6980229994829967"
"0.05","5004","poc_ogpm_eps_2","eps_2","6.7131541532628685"
"0.05","5004","oort_official_ogpm_eps_2","eps_2","7.468317458208869"
"0.05","5004","hics2024_source_adapted_ogpm_eps_2","eps_2","7.817781515682446"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","5.854360692641314"
"0.05","5004","mcglr_top2_ogpm_eps_2","eps_2","3.154707067153033"
"0.05","5005","poc_ogpm_eps_0.5","eps_0.5","6.341748944450828"
