"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5005","oort_official_ogpm_eps_0.5","eps_0.5","6.5077409632065715"
"0.05","5005","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","6.476893032298369"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","6.502598930807674"
"0.05","5005","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.619015772202436"
"0.05","5005","poc_ogpm_eps_1","eps_1","6.154575662051931"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","6.092453945384306"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","6.820779486263499"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.180854797363281"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","2.904151692109949"
"0.05","5005","poc_ogpm_eps_2","eps_2","5.928526665182675"
"0.05","5005","oort_official_ogpm_eps_2","eps_2","5.501363193287569"
"0.05","5005","hics2024_source_adapted_ogpm_eps_2","eps_2","6.820779486263499"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","5.52669579001034"
"0.05","5005","mcglr_top2_ogpm_eps_2","eps_2","2.6889371535357305"
