"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","random","none","6.744614141127642","0.062499999999999986"
"0.05","5001","oracle","none","2.767121438419118","0.30643382352941173"
"0.05","5001","poc_ogpm_eps_1","eps_1","6.296219096464269","0.06470588235294118"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","6.155583864099839","0.07040441176470588"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","6.764378424251781","0.06525735294117649"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.847905282413258","0.06930147058823528"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","3.535078878963695","0.16691176470588237"
"0.05","5002","random","none","6.992001836440142","0.06488970588235293"
"0.05","5002","oracle","none","2.373320545869715","0.38566176470588237"
"0.05","5002","poc_ogpm_eps_1","eps_1","6.5827465281767","0.06341911764705882"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","6.685891095329733","0.06360294117647058"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","7.587405754538144","0.05827205882352941"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","7.118383519789752","0.06268382352941175"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","3.373369957419003","0.20625000000000002"
"0.05","5003","random","none","7.081788231344784","0.047610294117647056"
"0.05","5003","oracle","none","2.412612690645106","0.3854779411764706"
"0.05","5003","poc_ogpm_eps_1","eps_1","6.71278767305262","0.05716911764705883"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","6.988294354607078","0.052757352941176464"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","7.644100817512064","0.057904411764705885"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.671340762867647","0.05735294117647059"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","3.3968969008501837","0.18841911764705882"
"0.05","5004","random","none","7.176449540082146","0.03308823529411765"
"0.05","5004","oracle","none","2.473259084364947","0.37077205882352937"
"0.05","5004","poc_ogpm_eps_1","eps_1","6.8220162784352025","0.03731617647058824"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","7.463573500689338","0.031985294117647056"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","7.817781515682446","0.030698529411764704"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.554315095789292","0.036029411764705886"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","3.6980229994829967","0.16488970588235294"
"0.05","5005","random","none","6.523677242503447","0.06433823529411764"
"0.05","5005","oracle","none","2.3722244711483227","0.3814338235294117"
"0.05","5005","poc_ogpm_eps_1","eps_1","6.154575662051931","0.07003676470588235"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","6.092453945384306","0.06397058823529411"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","6.820779486263499","0.059007352941176476"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","6.180854797363281","0.06323529411764706"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","2.904151692109949","0.27132352941176463"
