"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","random","none","1.6173725128173828"
"0.05","5001","10","random","none","1.4677679061889648"
"0.05","5001","20","random","none","1.5353788375854491"
"0.05","5001","30","random","none","1.845771598815918"
"0.05","5001","40","random","none","6.7177001953125"
"0.05","5001","50","random","none","6.835470581054688"
"0.05","5001","60","random","none","6.533456420898437"
"0.05","5001","70","random","none","6.9657745361328125"
"0.05","5001","80","random","none","7.070933532714844"
"0.05","5001","90","random","none","6.822981262207032"
"0.05","5001","100","random","none","6.486405944824218"
"0.05","5001","110","random","none","6.886051940917969"
"0.05","5001","120","random","none","7.037953186035156"
"0.05","5001","130","random","none","6.7809906005859375"
"0.05","5001","140","random","none","6.710882568359375"
"0.05","5001","150","random","none","6.7343505859375"
"0.05","5001","160","random","none","6.654594421386719"
"0.05","5001","170","random","none","6.744808959960937"
"0.05","5001","180","random","none","6.254334259033203"
"0.05","5001","190","random","none","6.454043579101563"
"0.05","5001","199","random","none","6.967707824707031"
"0.05","5001","0","oracle","none","1.6173725128173828"
"0.05","5001","10","oracle","none","1.4677679061889648"
"0.05","5001","20","oracle","none","1.5353788375854491"
"0.05","5001","30","oracle","none","1.8553853988647462"
"0.05","5001","40","oracle","none","4.147402954101563"
"0.05","5001","50","oracle","none","3.6130767822265626"
"0.05","5001","60","oracle","none","3.458638000488281"
"0.05","5001","70","oracle","none","3.165228271484375"
"0.05","5001","80","oracle","none","3.1561050415039062"
"0.05","5001","90","oracle","none","2.9039703369140626"
"0.05","5001","100","oracle","none","2.8508956909179686"
"0.05","5001","110","oracle","none","2.858509826660156"
"0.05","5001","120","oracle","none","2.617412567138672"
"0.05","5001","130","oracle","none","2.488250732421875"
"0.05","5001","140","oracle","none","2.486197662353516"
"0.05","5001","150","oracle","none","2.4251144409179686"
"0.05","5001","160","oracle","none","2.4286178588867187"
"0.05","5001","170","oracle","none","2.0997711181640626"
"0.05","5001","180","oracle","none","2.1607429504394533"
"0.05","5001","190","oracle","none","2.129901123046875"
"0.05","5001","199","oracle","none","2.0512290954589845"
"0.05","5001","0","poc_ogpm_eps_1","eps_1","1.6173725128173828"
"0.05","5001","10","poc_ogpm_eps_1","eps_1","1.4677679061889648"
"0.05","5001","20","poc_ogpm_eps_1","eps_1","1.5353788375854491"
"0.05","5001","30","poc_ogpm_eps_1","eps_1","1.9151995658874512"
"0.05","5001","40","poc_ogpm_eps_1","eps_1","6.439619445800782"
"0.05","5001","50","poc_ogpm_eps_1","eps_1","6.843325805664063"
"0.05","5001","60","poc_ogpm_eps_1","eps_1","6.362216186523438"
"0.05","5001","70","poc_ogpm_eps_1","eps_1","6.562261962890625"
"0.05","5001","80","poc_ogpm_eps_1","eps_1","6.540371704101562"
"0.05","5001","90","poc_ogpm_eps_1","eps_1","6.557246398925781"
"0.05","5001","100","poc_ogpm_eps_1","eps_1","6.188412475585937"
"0.05","5001","110","poc_ogpm_eps_1","eps_1","6.463270568847657"
"0.05","5001","120","poc_ogpm_eps_1","eps_1","6.503411865234375"
"0.05","5001","130","poc_ogpm_eps_1","eps_1","5.896768188476562"
"0.05","5001","140","poc_ogpm_eps_1","eps_1","5.938943481445312"
"0.05","5001","150","poc_ogpm_eps_1","eps_1","5.960956573486328"
"0.05","5001","160","poc_ogpm_eps_1","eps_1","6.359059143066406"
"0.05","5001","170","poc_ogpm_eps_1","eps_1","6.251139831542969"
"0.05","5001","180","poc_ogpm_eps_1","eps_1","6.291818237304687"
"0.05","5001","190","poc_ogpm_eps_1","eps_1","5.87430419921875"
"0.05","5001","199","poc_ogpm_eps_1","eps_1","6.002598571777344"
"0.05","5001","0","oort_official_ogpm_eps_1","eps_1","1.6173725128173828"
"0.05","5001","10","oort_official_ogpm_eps_1","eps_1","1.4677679061889648"
"0.05","5001","20","oort_official_ogpm_eps_1","eps_1","1.5353788375854491"
"0.05","5001","30","oort_official_ogpm_eps_1","eps_1","1.8469675064086915"
"0.05","5001","40","oort_official_ogpm_eps_1","eps_1","6.702351379394531"
"0.05","5001","50","oort_official_ogpm_eps_1","eps_1","6.82879638671875"
"0.05","5001","60","oort_official_ogpm_eps_1","eps_1","6.476045227050781"
"0.05","5001","70","oort_official_ogpm_eps_1","eps_1","6.518887329101562"
"0.05","5001","80","oort_official_ogpm_eps_1","eps_1","6.465792846679688"
"0.05","5001","90","oort_official_ogpm_eps_1","eps_1","5.763009643554687"
"0.05","5001","100","oort_official_ogpm_eps_1","eps_1","5.4285888671875"
"0.05","5001","110","oort_official_ogpm_eps_1","eps_1","5.761187744140625"
