"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post","identity_auprc_post","recall_at_b_post"
"0.05","6301","mcglr_top1_ogpm_eps_1","eps_1","1.5713439324322869","0.4224264705882353","0.6078670851724224","0.5435294117647059"
"0.05","6301","mcglr_top2_ogpm_eps_1","eps_1","1.5723092626122868","0.4189338235294118","0.6170894848988985","0.5332352941176471"
"0.05","6302","mcglr_top1_ogpm_eps_1","eps_1","1.7189606687601875","0.41672794117647055","0.44582681953829206","0.39529411764705885"
"0.05","6302","mcglr_top2_ogpm_eps_1","eps_1","1.706360905310687","0.4238970588235294","0.45553509205958226","0.40411764705882347"
"0.05","6303","mcglr_top1_ogpm_eps_1","eps_1","1.8638984553954179","0.3362132352941177","0.6362889105278865","0.5408284023668639"
"0.05","6303","mcglr_top2_ogpm_eps_1","eps_1","1.8300279813654283","0.33731617647058826","0.6387960688695377","0.5585798816568047"
