"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post","identity_auprc_post","recall_at_b_post"
"0.05","6301","mcglr_top2_ogpm_eps_1","eps_1","1.5723092626122868","0.4189338235294118","0.6170894848988985","0.5332352941176471"
"0.05","6301","mcglr_instant_top2_ogpm_eps_1","eps_1","1.9306625590604896","0.33897058823529413","0.1469737997878996","0.125"
"0.05","6302","mcglr_top2_ogpm_eps_1","eps_1","1.706360905310687","0.4238970588235294","0.45553509205958226","0.40411764705882347"
"0.05","6302","mcglr_instant_top2_ogpm_eps_1","eps_1","2.083625548026141","0.314889705882353","0.13218015416862278","0.06294117647058824"
"0.05","6303","mcglr_top2_ogpm_eps_1","eps_1","1.8300279813654283","0.33731617647058826","0.6387960688695377","0.5585798816568047"
"0.05","6303","mcglr_instant_top2_ogpm_eps_1","eps_1","2.5113128690158617","0.2051470588235294","0.15373573543064467","0.09664694280078896"
"0.05","6304","mcglr_top2_ogpm_eps_1","eps_1","1.819243579752305","0.3586397058823529","0.5124685423677923","0.4520710059171598"
"0.05","6304","mcglr_instant_top2_ogpm_eps_1","eps_1","2.1210954974679384","0.2707720588235294","0.15388231503668937","0.12218934911242603"
"0.05","6305","mcglr_top2_ogpm_eps_1","eps_1","1.835850142030155","0.38584558823529413","0.4141666898539962","0.3948039215686275"
"0.05","6305","mcglr_instant_top2_ogpm_eps_1","eps_1","2.330126307992374","0.26249999999999996","0.13655825567610722","0.09872549019607842"
