"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post","identity_auprc_post","recall_at_b_post"
"0.05","6301","mcglr_top2_ogpm_eps_1","eps_1","3.3938226138844207","0.20625000000000002","0.5579152717655639","0.5391176470588236"
"0.05","6301","mcglr_instant_top2_ogpm_eps_1","eps_1","6.001213746912339","0.06580882352941175","0.1706751916279944","0.14176470588235296"
"0.05","6302","mcglr_top2_ogpm_eps_1","eps_1","3.8904946719898894","0.1670955882352941","0.685975233122795","0.546470588235294"
"0.05","6302","mcglr_instant_top2_ogpm_eps_1","eps_1","6.0427931841681986","0.043750000000000004","0.15392614454753614","0.10647058823529412"
"0.05","6303","mcglr_top2_ogpm_eps_1","eps_1","3.2166730544146374","0.24797794117647054","0.644892618698004","0.5597633136094674"
"0.05","6303","mcglr_instant_top2_ogpm_eps_1","eps_1","6.183819490320541","0.056433823529411765","0.12394914687556143","0.08984220907297831"
