"changed_fraction","seed","policy","epsilon","identity_auprc_post"
"0.05","7001","mcglr_top2_ogpm_eps_1","eps_1","0.3804359621430238"
"0.05","7002","mcglr_top2_ogpm_eps_1","eps_1","0.48440048608779523"
"0.05","7003","mcglr_top2_ogpm_eps_1","eps_1","0.416894556638256"
