"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.06322587648841577","0.04294117647058824"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.0949560008815223","0.05647058823529413"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.09063577399138886","0.060355029585798824"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.10335667890021893","0.07209072978303747"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.09286254925859838","0.060000000000000005"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.14118639530290697","0.11705882352941176"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.05656974783579136","0.04"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.09989951856282948","0.06823529411764706"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.09880873706956281","0.0461764705882353"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.09025734701034065","0.054117647058823534"
