"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8202584491056553","0.17371323529411764"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.8128190208883845","0.17996323529411765"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7925071211422186","0.16966911764705883"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7884301914888265","0.16930147058823528"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8647092903361595","0.14595588235294116"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.819778100182029","0.15165441176470587"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8831654268152573","0.14650735294117648"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.8045482298907105","0.15147058823529413"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7930226943072154","0.15625"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7892308403463923","0.1560661764705882"
