"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.879896354675293"
"0.05","5001","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.807759094238281"
"0.05","5001","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.6276695251464846"
"0.05","5001","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.860141563415527"
"0.05","5001","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7211761474609375"
"0.05","5001","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.681383514404297"
"0.05","5001","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8658477783203127"
"0.05","5001","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.9821846008300783"
"0.05","5001","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","4.031283569335938"
"0.05","5001","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8261955261230467"
"0.05","5001","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8246185302734377"
"0.05","5001","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.774509334564209"
"0.05","5001","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.9378593444824217"
"0.05","5001","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.751172637939453"
"0.05","5001","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","4.009797668457031"
"0.05","5001","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.851226043701172"
"0.05","5001","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.5601375579833983"
"0.05","5001","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6931484222412108"
"0.05","5001","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6797794342041015"
"0.05","5001","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.9018516540527344"
"0.05","5001","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.852221870422363"
"0.05","5001","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.879896354675293"
"0.05","5001","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.807759094238281"
"0.05","5001","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.6276695251464846"
"0.05","5001","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.851004791259766"
"0.05","5001","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.712704086303711"
"0.05","5001","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.643690299987793"
"0.05","5001","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.85321044921875"
"0.05","5001","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.981678771972656"
"0.05","5001","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","4.034588623046875"
"0.05","5001","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.8928363800048826"
"0.05","5001","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.795531463623047"
"0.05","5001","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.6513399124145507"
"0.05","5001","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.9124351501464845"
"0.05","5001","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7431106567382812"
"0.05","5001","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.960032653808594"
"0.05","5001","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.794420623779297"
"0.05","5001","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.539266586303711"
"0.05","5001","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7170257568359375"
"0.05","5001","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7397029876708983"
"0.05","5001","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.939623260498047"
"0.05","5001","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.9067256927490233"
"0.05","5002","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.659028244018555"
"0.05","5002","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.717533493041992"
"0.05","5002","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.7843360900878906"
"0.05","5002","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.7764397621154786"
"0.05","5002","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.825362491607666"
"0.05","5002","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.812313461303711"
"0.05","5002","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6348621368408205"
"0.05","5002","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.9608383178710938"
"0.05","5002","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8385982513427734"
"0.05","5002","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6589595794677736"
"0.05","5002","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.816839599609375"
"0.05","5002","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","4.047650146484375"
"0.05","5002","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8891755104064942"
"0.05","5002","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.84605712890625"
"0.05","5002","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7803500175476072"
"0.05","5002","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.9013118743896484"
"0.05","5002","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6302459716796873"
"0.05","5002","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8581720352172852"
"0.05","5002","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.656829071044922"
"0.05","5002","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7110469818115233"
"0.05","5002","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.6040084838867186"
"0.05","5002","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.659028244018555"
"0.05","5002","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.717533493041992"
"0.05","5002","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.7843360900878906"
"0.05","5002","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.7766865730285644"
"0.05","5002","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.783380126953125"
"0.05","5002","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7171070098876955"
"0.05","5002","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.601251220703125"
"0.05","5002","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.944573974609375"
"0.05","5002","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7405092239379885"
"0.05","5002","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.643631839752197"
"0.05","5002","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.744683837890625"
"0.05","5002","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","4.030557250976562"
"0.05","5002","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.872375965118408"
