"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","poc_ogpm_eps_0.5","eps_0.5","2.1272673662971053"
"0.05","5001","oort_official_ogpm_eps_0.5","eps_0.5","2.220288775948917"
"0.05","5001","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.140613696154426"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1907715629128846"
"0.05","5001","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.162932990579044"
"0.05","5001","poc_ogpm_eps_1","eps_1","2.1106552965500773"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","2.20477154675652"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","2.140613696154426"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.192023939244887"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","1.8937328563017004"
"0.05","5001","poc_ogpm_eps_2","eps_2","2.073686058381025"
"0.05","5001","oort_official_ogpm_eps_2","eps_2","2.201179078046014"
"0.05","5001","hics2024_source_adapted_ogpm_eps_2","eps_2","2.140613696154426"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.1470147749956916"
"0.05","5001","mcglr_top2_ogpm_eps_2","eps_2","1.7588962751276354"
"0.05","5002","poc_ogpm_eps_0.5","eps_0.5","2.068915501762839"
"0.05","5002","oort_official_ogpm_eps_0.5","eps_0.5","2.137114233129165"
"0.05","5002","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.14797945022583"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1284611589768354"
"0.05","5002","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.070458337839912"
"0.05","5002","poc_ogpm_eps_1","eps_1","2.05511994081385"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","2.1257178082185635"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","2.14797945022583"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.185954492232379"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","1.8980574285282807"
"0.05","5002","poc_ogpm_eps_2","eps_2","2.0517641067504884"
"0.05","5002","oort_official_ogpm_eps_2","eps_2","2.268355829575482"
"0.05","5002","hics2024_source_adapted_ogpm_eps_2","eps_2","2.14797945022583"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.1606954967274383"
"0.05","5002","mcglr_top2_ogpm_eps_2","eps_2","1.722098440282485"
"0.05","5003","poc_ogpm_eps_0.5","eps_0.5","2.187505665947409"
"0.05","5003","oort_official_ogpm_eps_0.5","eps_0.5","2.2696282863616943"
"0.05","5003","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1732326675863827"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1963052525239832"
"0.05","5003","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.1649430611554314"
"0.05","5003","poc_ogpm_eps_1","eps_1","2.180796825184541"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","2.2656186734928805"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","2.1732326675863827"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1769194771261775"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","1.9199297961066752"
"0.05","5003","poc_ogpm_eps_2","eps_2","2.148292642481187"
"0.05","5003","oort_official_ogpm_eps_2","eps_2","2.306694810530719"
"0.05","5003","hics2024_source_adapted_ogpm_eps_2","eps_2","2.1732326675863827"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.160023251701804"
"0.05","5003","mcglr_top2_ogpm_eps_2","eps_2","1.7591870981104234"
"0.05","5004","poc_ogpm_eps_0.5","eps_0.5","2.1227675157434795"
"0.05","5004","oort_official_ogpm_eps_0.5","eps_0.5","2.165399147482479"
"0.05","5004","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.16796417797313"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1349571340224323"
"0.05","5004","mcglr_top2_ogpm_eps_0.5","eps_0.5","1.981796017815085"
"0.05","5004","poc_ogpm_eps_1","eps_1","2.119982236974379"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","2.2700894860660323"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","2.16796417797313"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.089464445675121"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","1.8442049503326414"
"0.05","5004","poc_ogpm_eps_2","eps_2","2.10356139014749"
"0.05","5004","oort_official_ogpm_eps_2","eps_2","2.2221517114078297"
"0.05","5004","hics2024_source_adapted_ogpm_eps_2","eps_2","2.16796417797313"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.0064947128295896"
"0.05","5004","mcglr_top2_ogpm_eps_2","eps_2","1.7539706174065084"
"0.05","5005","poc_ogpm_eps_0.5","eps_0.5","2.1839257464689363"
"0.05","5005","oort_official_ogpm_eps_0.5","eps_0.5","2.2266723632812497"
"0.05","5005","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.2456215465770044"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","2.1397323047413543"
"0.05","5005","mcglr_top2_ogpm_eps_0.5","eps_0.5","2.059162274528952"
"0.05","5005","poc_ogpm_eps_1","eps_1","2.1753577260410086"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","2.2883524389827956"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","2.2456215465770044"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1696301965152522"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","1.882083420192494"
"0.05","5005","poc_ogpm_eps_2","eps_2","2.1372904889723836"
"0.05","5005","oort_official_ogpm_eps_2","eps_2","2.2777677311616786"
"0.05","5005","hics2024_source_adapted_ogpm_eps_2","eps_2","2.2456215465770044"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","2.088291128943948"
"0.05","5005","mcglr_top2_ogpm_eps_2","eps_2","1.8166374711429374"
