"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","random","none","2.1529419394100415","0.2659926470588236"
"0.05","5001","oracle","none","1.5226655314950381","0.4404411764705882"
"0.05","5001","poc_ogpm_eps_1","eps_1","2.1106552965500773","0.2735294117647059"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","2.20477154675652","0.26378676470588236"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","2.140613696154426","0.268014705882353"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.192023939244887","0.2525735294117647"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","1.8937328563017004","0.34650735294117646"
"0.05","5002","random","none","2.1161615147310147","0.2772058823529412"
"0.05","5002","oracle","none","1.4956908450407143","0.4566176470588235"
"0.05","5002","poc_ogpm_eps_1","eps_1","2.05511994081385","0.2786764705882353"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","2.1257178082185635","0.2759191176470588"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","2.14797945022583","0.26746323529411764"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.185954492232379","0.2568014705882353"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","1.8980574285282807","0.31875000000000003"
"0.05","5003","random","none","2.16769240323235","0.24448529411764705"
"0.05","5003","oracle","none","1.621427673452041","0.3797794117647059"
"0.05","5003","poc_ogpm_eps_1","eps_1","2.180796825184541","0.2417279411764706"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","2.2656186734928805","0.22886029411764705"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","2.1732326675863827","0.2341911764705882"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1769194771261775","0.25220588235294117"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","1.9199297961066752","0.2946691176470588"
"0.05","5004","random","none","2.1578076026018924","0.2522058823529412"
"0.05","5004","oracle","none","1.4254123463350183","0.4841911764705883"
"0.05","5004","poc_ogpm_eps_1","eps_1","2.119982236974379","0.2556985294117647"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","2.2700894860660323","0.23235294117647057"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","2.16796417797313","0.23658088235294117"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.089464445675121","0.2569852941176471"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","1.8442049503326414","0.32242647058823537"
"0.05","5005","random","none","2.210693920359892","0.2349264705882353"
"0.05","5005","oracle","none","1.6189055905622596","0.4233455882352941"
"0.05","5005","poc_ogpm_eps_1","eps_1","2.1753577260410086","0.23970588235294119"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","2.2883524389827956","0.21102941176470588"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","2.2456215465770044","0.22132352941176472"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1696301965152522","0.24080882352941177"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","1.882083420192494","0.31176470588235294"
