"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","poc_ogpm_eps_1","eps_1","0.10648519557035599","0.06460784313725491"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","0.06429848305689247","0.0311764705882353"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","0.2226982433611886","0.05549019607843137"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10926632458843678","0.05382352941176471"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","0.4068033333519049","0.376764705882353"
"0.05","5002","poc_ogpm_eps_1","eps_1","0.12296865314145909","0.07337278106508875"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","0.10438488724155243","0.06745562130177515"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","0.2391336850049421","0.04082840236686391"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10335032572069519","0.026035502958579884"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","0.24036428651962688","0.2819526627218935"
"0.05","5003","poc_ogpm_eps_1","eps_1","0.12884012432169606","0.06352941176470589"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","0.06617358109923466","0.03529411764705882"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","0.1913995881673279","0.056764705882352946"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.12803228676380884","0.07058823529411765"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","0.313394163188998","0.35794117647058826"
"0.05","5004","poc_ogpm_eps_1","eps_1","0.0834763793729977","0.05764705882352942"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","0.07418116836604978","0.042352941176470586"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","0.1396360627518209","0.04941176470588236"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10016851315008743","0.08235294117647059"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","0.4856878542974116","0.424313725490196"
"0.05","5005","poc_ogpm_eps_1","eps_1","0.1183529685001488","0.0611764705882353"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","0.08835676340752517","0.04"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","0.0841800112829016","0.041176470588235294"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10533226360832733","0.04970588235294117"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","0.6156691595075694","0.5388235294117647"
