"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","random","none","1.326156234741211"
"0.05","5001","10","random","none","1.4064334869384765"
"0.05","5001","20","random","none","1.4120233535766602"
"0.05","5001","30","random","none","1.5127714157104493"
"0.05","5001","40","random","none","2.099725341796875"
"0.05","5001","50","random","none","2.214081573486328"
"0.05","5001","60","random","none","2.3085067749023436"
"0.05","5001","70","random","none","2.1873315811157226"
"0.05","5001","80","random","none","2.1110458374023438"
"0.05","5001","90","random","none","2.199431228637695"
"0.05","5001","100","random","none","2.151607894897461"
"0.05","5001","110","random","none","2.089010810852051"
"0.05","5001","120","random","none","2.1130294799804688"
"0.05","5001","130","random","none","2.110792541503906"
"0.05","5001","140","random","none","2.029854965209961"
"0.05","5001","150","random","none","2.2766769409179686"
"0.05","5001","160","random","none","2.1572040557861327"
"0.05","5001","170","random","none","2.2709373474121093"
"0.05","5001","180","random","none","2.042319488525391"
"0.05","5001","190","random","none","2.134506607055664"
"0.05","5001","199","random","none","2.1039505004882812"
"0.05","5001","0","oracle","none","1.326156234741211"
"0.05","5001","10","oracle","none","1.4064334869384765"
"0.05","5001","20","oracle","none","1.4120233535766602"
"0.05","5001","30","oracle","none","1.5235139846801757"
"0.05","5001","40","oracle","none","1.6862089157104492"
"0.05","5001","50","oracle","none","1.5377494812011718"
"0.05","5001","60","oracle","none","1.6062644958496093"
"0.05","5001","70","oracle","none","1.5609590530395507"
"0.05","5001","80","oracle","none","1.481449508666992"
"0.05","5001","90","oracle","none","1.5571483612060546"
"0.05","5001","100","oracle","none","1.5169239044189453"
"0.05","5001","110","oracle","none","1.5026285171508789"
"0.05","5001","120","oracle","none","1.5454432487487793"
"0.05","5001","130","oracle","none","1.4143047332763672"
"0.05","5001","140","oracle","none","1.5053321361541747"
"0.05","5001","150","oracle","none","1.5624236106872558"
"0.05","5001","160","oracle","none","1.4622110366821288"
"0.05","5001","170","oracle","none","1.5547481536865235"
"0.05","5001","180","oracle","none","1.4008742332458497"
"0.05","5001","190","oracle","none","1.4606048583984375"
"0.05","5001","199","oracle","none","1.5300397872924805"
"0.05","5001","0","poc_ogpm_eps_1","eps_1","1.326156234741211"
"0.05","5001","10","poc_ogpm_eps_1","eps_1","1.4064334869384765"
"0.05","5001","20","poc_ogpm_eps_1","eps_1","1.4120233535766602"
"0.05","5001","30","poc_ogpm_eps_1","eps_1","1.5118759155273438"
"0.05","5001","40","poc_ogpm_eps_1","eps_1","2.102710723876953"
"0.05","5001","50","poc_ogpm_eps_1","eps_1","2.216939163208008"
"0.05","5001","60","poc_ogpm_eps_1","eps_1","2.282465362548828"
"0.05","5001","70","poc_ogpm_eps_1","eps_1","2.1307746887207033"
"0.05","5001","80","poc_ogpm_eps_1","eps_1","2.069844055175781"
"0.05","5001","90","poc_ogpm_eps_1","eps_1","2.0851179122924806"
"0.05","5001","100","poc_ogpm_eps_1","eps_1","2.321392059326172"
"0.05","5001","110","poc_ogpm_eps_1","eps_1","1.8921092987060546"
"0.05","5001","120","poc_ogpm_eps_1","eps_1","2.1599098205566407"
"0.05","5001","130","poc_ogpm_eps_1","eps_1","2.014209747314453"
"0.05","5001","140","poc_ogpm_eps_1","eps_1","1.9704295158386231"
"0.05","5001","150","poc_ogpm_eps_1","eps_1","2.188581848144531"
"0.05","5001","160","poc_ogpm_eps_1","eps_1","2.006698989868164"
"0.05","5001","170","poc_ogpm_eps_1","eps_1","2.2141181945800783"
"0.05","5001","180","poc_ogpm_eps_1","eps_1","1.9412006378173827"
"0.05","5001","190","poc_ogpm_eps_1","eps_1","2.2837446212768553"
"0.05","5001","199","poc_ogpm_eps_1","eps_1","2.000893402099609"
"0.05","5001","0","oort_official_ogpm_eps_1","eps_1","1.326156234741211"
"0.05","5001","10","oort_official_ogpm_eps_1","eps_1","1.4064334869384765"
