"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","20","hics2024_source_adapted_ogpm_eps_1","eps_1","2.627549934387207"
"0.05","5001","30","hics2024_source_adapted_ogpm_eps_1","eps_1","2.8424442291259764"
"0.05","5001","40","hics2024_source_adapted_ogpm_eps_1","eps_1","3.7352996826171876"
"0.05","5001","50","hics2024_source_adapted_ogpm_eps_1","eps_1","3.6472110748291016"
"0.05","5001","60","hics2024_source_adapted_ogpm_eps_1","eps_1","3.843733215332031"
"0.05","5001","70","hics2024_source_adapted_ogpm_eps_1","eps_1","3.9659461975097656"
"0.05","5001","80","hics2024_source_adapted_ogpm_eps_1","eps_1","3.9644187927246093"
"0.05","5001","90","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8526355743408205"
"0.05","5001","100","hics2024_source_adapted_ogpm_eps_1","eps_1","3.797832489013672"
"0.05","5001","110","hics2024_source_adapted_ogpm_eps_1","eps_1","3.725228118896484"
"0.05","5001","120","hics2024_source_adapted_ogpm_eps_1","eps_1","3.9381011962890624"
"0.05","5001","130","hics2024_source_adapted_ogpm_eps_1","eps_1","3.7070823669433595"
"0.05","5001","140","hics2024_source_adapted_ogpm_eps_1","eps_1","4.017608642578125"
"0.05","5001","150","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8110736846923827"
"0.05","5001","160","hics2024_source_adapted_ogpm_eps_1","eps_1","3.5733310699462892"
"0.05","5001","170","hics2024_source_adapted_ogpm_eps_1","eps_1","3.6651939392089843"
"0.05","5001","180","hics2024_source_adapted_ogpm_eps_1","eps_1","3.674739456176758"
"0.05","5001","190","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8524169921875"
"0.05","5001","199","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8460060119628907"
"0.05","5001","0","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.880006694793701"
"0.05","5001","10","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.8077070236206056"
"0.05","5001","20","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.627549934387207"
"0.05","5001","30","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.857627773284912"
"0.05","5001","40","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.749622344970703"
"0.05","5001","50","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.6731311798095705"
"0.05","5001","60","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8809600830078126"
"0.05","5001","70","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.968853759765625"
"0.05","5001","80","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","4.082308959960938"
"0.05","5001","90","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.870439338684082"
"0.05","5001","100","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.850390625"
"0.05","5001","110","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7352686882019044"
"0.05","5001","120","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.9717384338378907"
"0.05","5001","130","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7484756469726563"
