"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","poc_ogpm_eps_1","eps_1","0.10609350556101892","0.06578431372549019"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","0.11877012777824869","0.09235294117647057"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","0.37407167906610184","0.05784313725490196"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.10703491155156265","0.03058823529411765"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","0.2707745265198592","0.2494117647058824"
"0.05","5002","poc_ogpm_eps_1","eps_1","0.11461301715919398","0.059467455621301776"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","0.0646556256148237","0.033136094674556214"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","0.2178642002494383","0.04585798816568047"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.09861255879064335","0.02248520710059172"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","0.295229410307106","0.24546351084812623"
"0.05","5003","poc_ogpm_eps_1","eps_1","0.12896804215549623","0.0623529411764706"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","0.09316585203051946","0.06352941176470589"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","0.2760719428895559","0.04264705882352942"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.12793220974268438","0.054117647058823534"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","0.35752712109910295","0.33764705882352936"
"0.05","5004","poc_ogpm_eps_1","eps_1","0.08301092652519192","0.05529411764705883"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","0.09709838586437179","0.055294117647058834"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","0.2139018291536821","0.049411764705882356"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.09865678239315627","0.044705882352941186"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","0.3981565935001975","0.35137254901960785"
"0.05","5005","poc_ogpm_eps_1","eps_1","0.11772733799169464","0.055294117647058834"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","0.07282045116722681","0.03882352941176471"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","0.11525415659619741","0.041176470588235294"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.1056358884515218","0.058823529411764705"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","0.28212653291618384","0.2576470588235294"
