"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","random","none","3.820637893676757","0.171875"
"0.05","5001","oracle","none","3.179001836215748","0.23988970588235295"
"0.05","5001","poc_ogpm_eps_1","eps_1","3.7650433484245753","0.17647058823529413"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","3.753495530521168","0.17775735294117648"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8010505003087656","0.17408088235294117"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8453531321357275","0.16580882352941176"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","3.6384325195761287","0.18180147058823531"
"0.05","5002","random","none","3.8124654545503507","0.16341911764705883"
"0.05","5002","oracle","none","3.1863284868352553","0.2233455882352941"
"0.05","5002","poc_ogpm_eps_1","eps_1","3.79699873082778","0.16709558823529413"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","3.8541930310866412","0.1645220588235294"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8162311105167164","0.1702205882352941"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.869666200525621","0.15919117647058825"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","3.6417267378638774","0.16066176470588237"
"0.05","5003","random","none","3.888199946459602","0.14338235294117646"
"0.05","5003","oracle","none","3.1884122259476606","0.2257352941176471"
"0.05","5003","poc_ogpm_eps_1","eps_1","3.8816877785850976","0.14172794117647058"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","3.886645754645852","0.13952205882352942"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","3.9287180199342617","0.13768382352941178"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.922020555945004","0.14246323529411764"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","3.6665616624495563","0.13639705882352943"
"0.05","5004","random","none","3.844977390064913","0.15183823529411763"
"0.05","5004","oracle","none","3.122943362067727","0.25827205882352944"
"0.05","5004","poc_ogpm_eps_1","eps_1","3.82860497306375","0.1496323529411765"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","3.8528257257798137","0.14650735294117648"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","3.84344316370347","0.14466911764705884"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8779186809764186","0.15165441176470584"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","3.507686326083015","0.1766544117647059"
"0.05","5005","random","none","3.7757312325870287","0.15698529411764706"
"0.05","5005","oracle","none","3.201507018594181","0.23713235294117646"
"0.05","5005","poc_ogpm_eps_1","eps_1","3.7941231783698584","0.15900735294117646"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","3.815778193754308","0.15202205882352943"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8085945353788486","0.15128676470588234"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7763070723589722","0.1545955882352941"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","3.5616410872515507","0.17775735294117648"
