"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","poc_ogpm_eps_0.5","eps_0.5","3.780819713368136"
"0.05","5001","oort_official_ogpm_eps_0.5","eps_0.5","3.80679147383746"
"0.05","5001","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8010505003087656"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8517731273875513"
"0.05","5001","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.846848370047177"
"0.05","5001","poc_ogpm_eps_1","eps_1","3.7650433484245753"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","3.753495530521168"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8010505003087656"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8453531321357275"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","3.6384325195761287"
"0.05","5001","poc_ogpm_eps_2","eps_2","3.750587351181928"
"0.05","5001","oort_official_ogpm_eps_2","eps_2","3.789426489437328"
"0.05","5001","hics2024_source_adapted_ogpm_eps_2","eps_2","3.8010505003087656"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","3.8412902271046354"
"0.05","5001","mcglr_top2_ogpm_eps_2","eps_2","3.4516954702489517"
"0.05","5002","poc_ogpm_eps_0.5","eps_0.5","3.799927826488719"
"0.05","5002","oort_official_ogpm_eps_0.5","eps_0.5","3.772112038556267"
"0.05","5002","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8162311105167164"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8544965856215536"
"0.05","5002","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.802870206271901"
"0.05","5002","poc_ogpm_eps_1","eps_1","3.79699873082778"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","3.8541930310866412"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8162311105167164"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.869666200525621"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","3.6417267378638774"
"0.05","5002","poc_ogpm_eps_2","eps_2","3.7798287840450513"
"0.05","5002","oort_official_ogpm_eps_2","eps_2","3.8432418963488404"
"0.05","5002","hics2024_source_adapted_ogpm_eps_2","eps_2","3.8162311105167164"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","3.8536441298092114"
"0.05","5002","mcglr_top2_ogpm_eps_2","eps_2","3.443006961485919"
"0.05","5003","poc_ogpm_eps_0.5","eps_0.5","3.8875075648812687"
"0.05","5003","oort_official_ogpm_eps_0.5","eps_0.5","3.922167059954475"
"0.05","5003","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.9287180199342617"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.959473842733047"
"0.05","5003","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.7230542743907256"
"0.05","5003","poc_ogpm_eps_1","eps_1","3.8816877785850976"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","3.886645754645852"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","3.9287180199342617"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.922020555945004"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","3.6665616624495563"
"0.05","5003","poc_ogpm_eps_2","eps_2","3.8604190966662237"
"0.05","5003","oort_official_ogpm_eps_2","eps_2","3.9373425960540764"
"0.05","5003","hics2024_source_adapted_ogpm_eps_2","eps_2","3.9287180199342617"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","3.879611531425925"
"0.05","5003","mcglr_top2_ogpm_eps_2","eps_2","3.4215620181139776"
"0.05","5004","poc_ogpm_eps_0.5","eps_0.5","3.8338915993185596"
"0.05","5004","oort_official_ogpm_eps_0.5","eps_0.5","3.852975250692928"
"0.05","5004","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.84344316370347"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8048005160163427"
"0.05","5004","mcglr_top2_ogpm_eps_0.5","eps_0.5","3.6307364071116726"
"0.05","5004","poc_ogpm_eps_1","eps_1","3.82860497306375"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","3.8528257257798137"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","3.84344316370347"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8779186809764186"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","3.507686326083015"
"0.05","5004","poc_ogpm_eps_2","eps_2","3.8145118993871354"
"0.05","5004","oort_official_ogpm_eps_2","eps_2","3.7952382087707512"
"0.05","5004","hics2024_source_adapted_ogpm_eps_2","eps_2","3.84344316370347"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_2","eps_2","3.799556687298943"
"0.05","5004","mcglr_top2_ogpm_eps_2","eps_2","3.398991079891429"
"0.05","5005","poc_ogpm_eps_0.5","eps_0.5","3.7950894411872413"
"0.05","5005","oort_official_ogpm_eps_0.5","eps_0.5","3.8138999265782974"
"0.05","5005","hics2024_source_adapted_ogpm_eps_0.5","eps_0.5","3.8085945353788486"
