"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.799552917480469"
"0.05","5002","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.344137573242188"
"0.05","5002","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.867259216308594"
"0.05","5002","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.375205993652344"
"0.05","5002","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.551363372802735"
"0.05","5002","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.921075439453125"
"0.05","5002","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.8657379150390625"
"0.05","5002","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.049082946777344"
"0.05","5002","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.0550071716308596"
"0.05","5002","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.379727554321289"
"0.05","5002","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.29698486328125"
"0.05","5002","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.2567127227783204"
"0.05","5002","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3670282363891602"
"0.05","5002","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.950581359863281"
"0.05","5002","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.448030090332031"
"0.05","5002","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.490728759765625"
"0.05","5002","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.489701843261718"
"0.05","5002","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.192526245117188"
"0.05","5002","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.648387145996094"
"0.05","5002","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.7564849853515625"
"0.05","5002","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.538082885742187"
"0.05","5002","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.2323486328125"
"0.05","5002","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","7.045689392089844"
"0.05","5002","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.160542297363281"
"0.05","5002","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.122328186035157"
"0.05","5002","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.612601470947266"
"0.05","5002","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.636753845214844"
"0.05","5002","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.932975769042969"
"0.05","5002","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.462251281738281"
"0.05","5002","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.486843872070312"
"0.05","5003","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3226158142089843"
"0.05","5003","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.290403175354004"
"0.05","5003","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3632966995239257"
"0.05","5003","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.9852474212646485"
"0.05","5003","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.4975128173828125"
"0.05","5003","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.93284912109375"
"0.05","5003","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.084173583984375"
"0.05","5003","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.951364135742187"
"0.05","5003","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.889068603515625"
"0.05","5003","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.756773376464844"
"0.05","5003","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.158470153808594"
"0.05","5003","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.149977111816407"
"0.05","5003","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.123281860351563"
"0.05","5003","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.750285339355469"
"0.05","5003","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.549403381347656"
"0.05","5003","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.798426818847656"
"0.05","5003","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.967318725585938"
"0.05","5003","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.856463623046875"
"0.05","5003","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.076829528808593"
"0.05","5003","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.888311767578125"
"0.05","5003","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.849758148193359"
"0.05","5003","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3226158142089843"
"0.05","5003","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.290403175354004"
"0.05","5003","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3632966995239257"
"0.05","5003","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.949289894104004"
"0.05","5003","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","7.051576232910156"
"0.05","5003","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.7343292236328125"
"0.05","5003","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.308616638183594"
"0.05","5003","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.531053161621093"
"0.05","5003","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.976338195800781"
"0.05","5003","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.8541412353515625"
"0.05","5003","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.312608337402343"
"0.05","5003","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.391047668457031"
"0.05","5003","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.4629058837890625"
"0.05","5003","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.050350952148437"
"0.05","5003","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.007391357421875"
"0.05","5003","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.905819702148437"
"0.05","5003","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.777078247070312"
"0.05","5003","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.386177062988281"
"0.05","5003","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.688154602050782"
"0.05","5003","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.07642822265625"
"0.05","5003","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.6958465576171875"
"0.05","5004","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3597129821777343"
"0.05","5004","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3982576370239257"
"0.05","5004","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3720991134643554"
"0.05","5004","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.7076787948608398"
"0.05","5004","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.586712646484375"
"0.05","5004","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.134065246582031"
"0.05","5004","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.163832092285157"
"0.05","5004","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.305073547363281"
"0.05","5004","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.4257080078125"
"0.05","5004","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.334164428710937"
"0.05","5004","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.9896697998046875"
"0.05","5004","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.972210693359375"
"0.05","5004","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.433235168457031"
"0.05","5004","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.39718017578125"
"0.05","5004","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.63306884765625"
"0.05","5004","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.062890625"
"0.05","5004","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.0782958984375"
"0.05","5004","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.19093017578125"
"0.05","5004","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.300387573242188"
"0.05","5004","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.112759399414062"
"0.05","5004","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.0316925048828125"
"0.05","5004","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3597129821777343"
"0.05","5004","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3982576370239257"
"0.05","5004","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3720991134643554"
"0.05","5004","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.681559181213379"
"0.05","5004","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","7.43197021484375"
"0.05","5004","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.672607421875"
"0.05","5004","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.894444274902344"
"0.05","5004","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.874424743652344"
"0.05","5004","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.823564147949218"
"0.05","5004","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","7.035466003417969"
"0.05","5004","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.246549987792969"
"0.05","5004","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.53353271484375"
"0.05","5004","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.809642028808594"
"0.05","5004","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.522793579101562"
"0.05","5004","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.887881469726563"
"0.05","5004","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.973649597167968"
"0.05","5004","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.893527221679688"
"0.05","5004","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.24072265625"
"0.05","5004","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.041737365722656"
"0.05","5004","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.456886291503906"
"0.05","5004","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.468675231933593"
"0.05","5005","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.1028380393981934"
"0.05","5005","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.1907877922058105"
"0.05","5005","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.2062620162963866"
"0.05","5005","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0959306716918946"
"0.05","5005","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.51650390625"
"0.05","5005","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.5314453125"
"0.05","5005","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.350996398925782"
"0.05","5005","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.494740295410156"
"0.05","5005","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.254702758789063"
"0.05","5005","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.002261352539063"
"0.05","5005","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.45328369140625"
"0.05","5005","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.464443969726562"
"0.05","5005","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.558209228515625"
"0.05","5005","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.623515319824219"
"0.05","5005","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.0644775390625"
"0.05","5005","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.1820625305175785"
"0.05","5005","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.405787658691406"
"0.05","5005","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.421945190429687"
