"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.07080351129355114","0.04411764705882353"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.11938266039323285","0.07764705882352942"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.05869165701046842","0.05562130177514793"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.1315627731426855","0.09112426035502959"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.07323876775245544","0.060000000000000005"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.1441564966163806","0.1288235294117647"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.04742863206912518","0.037647058823529415"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.12657228096737433","0.09411764705882353"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.12834387793978458","0.050882352941176476"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.10855199274956846","0.07529411764705883"
